id,titulo,autor,precio,idEditorial
4,Anthurium crenatum (L.) Kunth,Adina Considine,370.96,4
10,Bassia hyssopifolia (Pall.) Kuntz,Anthiathia Skerman,345.61,4
19,Kirschsteiniothelia D. Hawksw.,Melantha Mann,289.54,4
22,Eriogonum vimineum Douglas ex Benth.,Valerye Northedge,120.94,4
26,Deparia acrostichoides (Sw.) M. Kato,Padriac Randales,178.89,4
30,Fimbristylis decipiens Kral,Sula Stainfield,344.43,4
32,Thelypodium integrifolium,Garrett Farries,496.98,4
34,Stylodon carneus (Medik.) Moldenke,Daune Chomicki,404.57,4
35,Aulacomnium heterostichum (Hedw.) Bruch & Schimp.,Arny Panton,147.09,4
36,Saxifraga hieraciifolia Waldst,Hastie Duffit,88.27,4
47,Salvia micrantha Vahl var. micrantha,Marielle Wiersma,37.51,4
60,Krigia wrightii (A. Gray) K.L. Chambers ex Kim,Glenna Jimenez,407.15,4
64,Desmatodon latifolius (Hedw.) Brid.,Vikki Downton,149.98,4
67,Lagerstroemia indica L.,Dusty Chupin,240.92,4
68,Dichodontium Schimp.,Filide Harradine,269.22,4
74,Juncus brachycephalus (Engelm.) Buchenau,Noemi Orgee,49.54,4
84,Penstemon montanus Greene,Shara Piris,236.27,4
102,Sphaeralcea digitata (Greene) Rydb.,Rodolphe Castiglioni,255.08,4
103,Peperomia yabucoana Urb. & C. DC.,Nicola Blewett,42.66,4
105,Rubus inclinis L.H. Bailey,Martica Le Ball,358.69,4
109,Carex douglasii Boott,Anjela Andreia,20.09,4
112,Penstemon calcareus Brandegee,Aline Beazley,154.28,4
128,Graphis pavoniana,Vida Bourdas,211.16,4
129,Penstemon bicolor (Brandegee) Clokey,Giordano O'Lennane,51.58,4
132,Mirabilis austrotexana B.L. Turner,Ginevra Faill,125.49,4
136,Dicranopteris rubiginosa (Mett.) Maxon,Sally Bodycote,144.57,4
137,Tradescantia leiandra Torr.,Evyn Drohane,185.26,4
140,Caloplaca luteoalba (Turner) Th. Fr.,Giselle Colebourn,283.73,4
